user_id	item_id	rating	timestamp	context_cat	context_city
113813	6160	3.0	2018-07-07 22:09:11	543	341
43794	6160	2.0	2017-05-13 17:06:55	543	341
95964	6160	4.0	2017-08-08 00:58:18	543	341
96893	6160	3.0	2017-11-19 02:20:23	543	341
92543	6160	2.0	2017-09-09 17:49:47	543	341
100951	6160	2.0	2017-07-29 17:12:27	543	341
122876	6160	3.0	2018-03-24 17:50:37	543	341
105797	6160	5.0	2017-05-01 16:53:48	543	341
82374	6160	3.0	2018-07-21 09:26:33	543	341
133501	6160	1.0	2017-07-09 17:42:13	543	341
122620	6160	4.0	2017-05-14 14:20:27	543	341
29777	6160	1.0	2017-09-09 22:05:11	543	341
111927	6160	2.0	2017-05-14 18:24:56	543	341
60763	6160	1.0	2017-07-20 17:22:04	543	341
42904	6160	1.0	2018-09-08 17:03:53	543	341
129803	6160	5.0	2017-05-16 12:58:44	543	341
119160	6160	5.0	2017-04-22 04:43:19	543	341
4634	6160	2.0	2017-07-09 21:13:48	543	341
127800	6160	1.0	2017-12-17 17:48:54	543	341
119776	6160	2.0	2017-06-18 17:21:18	543	341
89740	6160	3.0	2017-07-24 02:01:41	543	341
82374	6160	3.0	2017-12-18 21:28:16	543	341
78161	6160	5.0	2017-06-08 17:40:35	543	341
14127	6160	2.0	2017-10-09 15:55:09	543	341
54932	6160	4.0	2017-07-01 23:53:51	543	341
114834	6160	5.0	2017-07-15 19:41:42	543	341
40812	6160	2.0	2017-12-07 19:51:32	543	341
107953	6160	2.0	2018-09-09 14:30:29	543	341
23252	6160	1.0	2018-09-08 13:43:06	543	341
100951	6160	2.0	2018-01-14 23:32:47	543	341
105461	6160	2.0	2018-01-02 00:00:55	543	341
23856	6160	2.0	2017-08-23 13:02:34	543	341
52390	6160	2.0	2017-06-11 22:38:54	543	341
86108	6160	2.0	2017-08-23 02:28:58	543	341
119160	6160	5.0	2017-04-24 22:22:24	543	341
54306	6160	2.0	2017-05-30 13:24:32	543	341
102185	6160	5.0	2017-05-21 17:28:52	543	341
38504	6160	1.0	2017-12-09 18:47:55	543	341
110295	6160	1.0	2017-05-21 19:45:17	543	341
120335	6160	1.0	2017-05-21 19:10:32	543	341
2030	6160	1.0	2018-06-17 17:29:01	543	341
57968	1493	5.0	2012-01-03 15:28:18	3	370
28899	1493	5.0	2012-08-16 12:49:05	3	370
92333	1493	5.0	2014-10-11 16:24:34	3	370
139888	1493	5.0	2016-08-13 19:58:32	3	370
131140	1493	4.0	2013-07-14 19:54:29	3	370
125285	1493	3.0	2015-07-05 03:07:43	3	370
24531	1493	5.0	2012-11-10 15:23:25	3	370
73126	1493	5.0	2011-08-05 14:40:28	3	370
52241	1493	5.0	2012-04-05 04:41:45	3	370
67591	1493	5.0	2017-04-11 16:00:26	3	370
26191	1493	5.0	2018-02-13 21:55:20	3	370
67570	1493	5.0	2015-10-11 04:02:55	3	370
115441	1493	5.0	2013-10-08 11:09:19	3	370
141928	1493	4.0	2011-03-23 15:52:27	3	370
11451	1493	5.0	2013-08-16 04:34:07	3	370
67346	1493	5.0	2011-05-30 02:02:33	3	370
48966	1493	5.0	2015-02-25 05:08:00	3	370
121916	1493	4.0	2012-04-01 15:02:54	3	370
9817	1493	5.0	2012-10-15 20:17:25	3	370
52910	1493	5.0	2016-09-07 17:57:10	3	370
1628	1493	5.0	2012-08-18 00:51:30	3	370
121334	1493	5.0	2013-04-15 14:00:48	3	370
116700	1493	5.0	2012-11-11 17:23:38	3	370
142521	1493	5.0	2014-04-24 01:09:50	3	370
102718	1493	4.0	2015-06-10 14:09:15	3	370
38020	1493	5.0	2013-06-26 23:00:16	3	370
125561	1493	4.0	2015-04-30 19:56:58	3	370
44739	1493	5.0	2014-06-30 22:46:46	3	370
110147	1493	5.0	2014-08-25 22:22:58	3	370
18726	1493	4.0	2014-07-15 16:40:32	3	370
5636	1493	5.0	2016-11-25 14:29:33	3	370
137805	1493	5.0	2013-04-19 20:49:45	3	370
110353	1493	5.0	2011-03-31 19:42:15	3	370
99822	1493	5.0	2012-03-07 04:40:36	3	370
93292	1493	5.0	2012-04-09 20:08:46	3	370
108588	1493	5.0	2013-01-08 01:02:13	3	370
85971	1493	4.0	2014-12-03 17:09:15	3	370
17094	1493	5.0	2017-07-22 01:10:23	3	370
